userId,rating,scoreId
1,4,4
1,5,11
1,4,12
1,5,13
1,4,14
1,5,15
1,5,20
1,4,29
1,5,34
1,5,36
1,4,37
1,5,40
1,5,48
1,5,59
1,5,62
1,5,66
1,4,68
1,5,73
1,4,78
1,5,82
1,4,83
1,5,86
1,5,87
1,4,89
1,5,99
1,4,100
1,5,103
1,5,106
1,3,109
1,5,114
1,5,130
1,5,131
1,5,133
1,5,137
1,5,146
1,5,148
1,4,151
1,3,157
1,5,159
1,5,161
1,5,168
1,5,174
1,5,179
1,4,182
1,3,184
1,3,189
1,5,191
1,5,197
2,4,4
2,4,11
2,5,12
2,4,13
2,4,14
2,5,15
2,5,20
2,3,29
2,5,34
2,5,36
2,4,37
2,4,40
2,5,47
2,5,48
2,5,59
2,5,62
2,5,66
2,4,68
2,5,73
2,5,78
2,5,82
2,3,83
2,4,86
2,4,87
2,4,89
2,5,90
2,4,99
2,3,100
2,5,103
2,4,106
2,2,109
2,5,114
2,4,130
2,5,131
2,5,133
2,5,137
2,5,146
2,4,148
2,5,151
2,4,157
2,5,159
2,5,161
2,4,168
2,5,174
2,3,179
2,4,182
2,5,184
2,5,189
2,5,191
2,4,197
3,5,4
3,4,11
3,4,12
3,4,13
3,5,14
3,3,15
3,4,20
3,5,29
3,5,34
3,4,36
3,4,37
3,5,40
3,5,47
3,3,48
3,4,59
3,5,62
3,4,66
3,5,68
3,5,73
3,5,78
3,4,82
3,5,83
3,5,86
3,3,87
3,5,89
3,4,90
3,4,99
3,3,100
3,5,103
3,5,106
3,4,109
3,5,114
3,5,130
3,5,131
3,5,133
3,5,137
3,4,146
3,4,148
3,5,151
3,5,157
3,4,159
3,3,161
3,5,165
3,5,168
3,5,174
3,4,179
3,4,182
3,4,184
3,5,185
3,5,189
3,5,191
3,4,197
4,5,4
4,5,11
4,4,12
4,5,13
4,4,14
4,5,15
4,3,20
4,5,29
4,5,34
4,4,36
4,5,37
4,4,40
4,4,47
4,4,48
4,5,59
4,4,62
4,4,66
4,5,68
4,4,73
4,5,78
4,4,82
4,4,83
4,4,86
4,5,87
4,4,89
4,4,90
4,4,99
4,4,100
4,4,103
4,5,106
4,5,109
4,4,114
4,4,130
4,5,131
4,5,133
4,5,137
4,5,146
4,4,148
4,5,151
4,5,157
4,5,159
4,5,161
4,5,165
4,5,168
4,4,174
4,4,179
4,5,182
4,4,184
4,5,185
4,5,189
4,5,191
4,5,197
5,5,4
5,5,11
5,5,12
5,4,13
5,4,14
5,5,15
5,5,20
5,5,29
5,4,34
5,5,36
5,4,37
5,5,40
5,5,47
5,3,48
5,5,59
5,5,62
5,3,66
5,4,68
5,4,73
5,5,78
5,5,82
5,5,83
5,5,86
5,5,87
5,4,89
5,5,90
5,5,99
5,4,100
5,3,103
5,5,106
5,3,109
5,4,114
5,5,128
5,4,130
5,5,131
5,5,133
5,5,137
5,4,146
5,5,148
5,5,151
5,5,157
5,5,159
5,5,161
5,5,165
5,4,168
5,4,174
5,5,176
5,4,179
5,4,182
5,5,184
5,4,185
5,5,189
5,5,191
5,5,197
6,4,4
6,5,11
6,5,12
6,4,13
6,4,14
6,4,15
6,5,20
6,5,29
6,4,34
6,4,36
6,5,37
6,5,40
6,5,47
6,4,48
6,5,59
6,4,62
6,5,66
6,4,68
6,5,73
6,5,78
6,5,82
6,5,83
6,5,86
6,5,87
6,4,89
6,5,90
6,4,99
6,5,100
6,4,103
6,5,106
6,4,109
6,5,114
6,5,128
6,4,130
6,4,131
6,4,133
6,5,137
6,5,146
6,5,148
6,5,151
6,5,157
6,5,159
6,5,161
6,4,165
6,4,168
6,4,174
6,2,176
6,4,179
6,5,182
6,5,184
6,5,185
6,5,189
6,5,191
6,5,197
7,5,4
7,5,11
7,4,12
7,4,13
7,4,14
7,5,15
7,5,20
7,5,29
7,4,34
7,5,36
7,3,37
7,5,40
7,5,47
7,5,48
7,4,59
7,4,62
7,4,66
7,4,68
7,3,73
7,5,78
7,5,82
7,5,83
7,4,86
7,4,87
7,5,89
7,5,90
7,5,99
7,5,100
7,5,103
7,5,106
7,4,109
7,5,114
7,5,128
7,5,130
7,4,131
7,5,133
7,4,137
7,5,146
7,5,148
7,5,151
7,3,157
7,4,159
7,5,161
7,4,165
7,5,168
7,5,174
7,5,176
7,3,179
7,4,182
7,5,184
7,5,185
7,4,189
7,3,191
7,5,197
8,5,4
8,5,11
8,4,12
8,5,13
8,4,14
8,5,15
8,5,20
8,4,29
8,4,34
8,4,36
8,5,37
8,4,40
8,4,47
8,4,48
8,5,59
8,5,62
8,5,66
8,5,68
8,4,73
8,5,78
8,5,82
8,5,83
8,4,86
8,4,87
8,5,89
8,5,90
8,4,99
8,4,100
8,5,103
8,5,106
8,4,109
8,5,114
8,4,128
8,5,130
8,5,131
8,5,133
8,5,137
8,5,146
8,4,148
8,5,151
8,5,157
8,5,159
8,4,161
8,4,165
8,4,168
8,4,174
8,5,176
8,4,179
8,5,182
8,4,184
8,4,185
8,4,189
8,4,191
8,3,197
9,4,4
9,5,11
9,4,12
9,5,13
9,4,14
9,5,15
9,5,20
9,5,29
9,5,34
9,4,36
9,3,37
9,4,40
9,5,47
9,4,48
9,5,59
9,5,62
9,4,66
9,5,68
9,5,73
9,4,78
9,4,82
9,5,83
9,2,86
9,4,87
9,5,89
9,5,90
9,4,99
9,4,100
9,5,103
9,5,106
9,5,109
9,5,114
9,5,128
9,4,130
9,5,131
9,3,133
9,4,137
9,4,146
9,4,148
9,4,151
9,5,157
9,5,159
9,5,161
9,4,165
9,5,168
9,5,174
9,5,176
9,4,179
9,4,182
9,4,184
9,5,185
9,3,189
9,5,191
9,4,197
10,5,4
10,4,11
10,5,12
10,3,13
10,5,14
10,5,15
10,5,20
10,5,29
10,4,34
10,5,36
10,4,37
10,5,40
10,5,47
10,5,48
10,5,59
10,4,62
10,5,66
10,5,68
10,5,73
10,4,78
10,5,82
10,4,83
10,5,86
10,5,87
10,4,89
10,4,90
10,3,99
10,5,100
10,4,103
10,4,106
10,4,109
10,5,114
10,5,128
10,5,130
10,5,131
10,5,133
10,5,137
10,5,146
10,5,148
10,4,151
10,4,157
10,4,159
10,4,161
10,5,165
10,4,168
10,3,174
10,5,176
10,5,179
10,4,182
10,5,184
10,5,185
10,5,189
10,5,191
10,4,197
11,2,4
11,5,11
11,4,12
11,5,13
11,4,14
11,5,15
11,4,20
11,5,29
11,4,34
11,4,36
11,3,37
11,5,40
11,4,47
11,5,48
11,4,59
11,4,62
11,5,66
11,5,68
11,4,73
11,5,78
11,5,82
11,5,83
11,4,86
11,4,87
11,4,89
11,5,90
11,4,99
11,5,100
11,3,103
11,5,106
11,3,109
11,5,114
11,5,128
11,4,130
11,5,131
11,5,133
11,5,137
11,5,146
11,4,148
11,5,151
11,5,157
11,4,159
11,5,161
11,4,165
11,4,168
11,5,174
11,5,176
11,4,179
11,4,182
11,5,184
11,5,185
11,4,189
11,4,191
11,4,197
12,5,4
12,5,11
12,5,12
12,4,13
12,4,14
12,3,15
12,4,20
12,5,29
12,5,34
12,5,36
12,5,37
12,5,40
12,4,47
12,5,48
12,3,59
12,4,62
12,4,66
12,5,68
12,4,73
12,5,78
12,5,82
12,4,83
12,4,86
12,5,87
12,4,89
12,5,90
12,5,99
12,5,100
12,5,103
12,4,106
12,4,109
12,4,114
12,5,128
12,4,130
12,4,131
12,4,133
12,5,137
12,3,146
12,3,148
12,5,151
12,5,157
12,4,159
12,5,161
12,4,165
12,5,168
12,5,174
12,4,176
12,3,179
12,5,182
12,4,184
12,5,185
12,5,189
12,4,191
12,4,197
13,5,4
13,5,11
13,5,12
13,5,13
13,5,14
13,5,15
13,4,20
13,5,29
13,5,34
13,5,36
13,3,37
13,5,40
13,5,47
13,5,48
13,4,59
13,5,62
13,4,66
13,5,68
13,4,73
13,5,78
13,4,82
13,5,83
13,5,86
13,5,87
13,4,89
13,5,90
13,5,99
13,5,100
13,5,103
13,2,106
13,4,109
13,4,114
13,4,128
13,5,130
13,5,131
13,5,133
13,5,137
13,4,146
13,5,148
13,5,151
13,5,157
13,4,159
13,5,161
13,5,165
13,5,168
13,4,174
13,5,176
13,4,179
13,5,182
13,5,184
13,5,185
13,5,189
13,5,191
13,5,197
14,5,4
14,5,11
14,3,12
14,4,13
14,5,14
14,5,15
14,5,20
14,5,29
14,3,34
14,4,36
14,4,37
14,4,40
14,4,47
14,3,48
14,4,59
14,3,62
14,4,66
14,4,68
14,2,73
14,5,78
14,5,82
14,5,83
14,5,86
14,5,87
14,5,89
14,5,90
14,5,99
14,5,100
14,5,103
14,5,106
14,3,109
14,4,114
14,5,128
14,4,130
14,4,131
14,5,133
14,5,137
14,3,146
14,4,148
14,5,151
14,5,157
14,5,159
14,3,161
14,5,165
14,4,168
14,5,174
14,5,176
14,2,179
14,3,182
14,5,184
14,5,185
14,5,189
14,5,191
14,5,197
15,5,4
15,5,11
15,5,12
15,5,13
15,5,14
15,4,15
15,5,20
15,5,29
15,3,34
15,4,36
15,4,37
15,4,40
15,5,47
15,4,48
15,5,59
15,2,62
15,3,66
15,4,68
15,5,73
15,4,78
15,4,82
15,5,83
15,4,86
15,5,87
15,4,89
15,3,90
15,5,99
15,4,100
15,4,103
15,4,106
15,4,109
15,4,114
15,5,128
15,4,130
15,5,131
15,5,133
15,4,137
15,5,146
15,5,148
15,4,151
15,5,157
15,5,159
15,5,161
15,5,165
15,5,168
15,4,174
15,5,176
15,5,179
15,4,182
